# NS station codes
# based on
#  http://home.kpn.nl/judoschaak/treinen/afgiftepunten/afgiftepunten.html
#  http://home.planet.nl/~schif026/keuzenl.html
#  http://www.numdex.nl/NSstationnummers.html
#  http://wiki.ovinnederland.nl/
#  http://www.ns.nl/api
# and many direct observations
#
# Last update:
#  12-08-2013
#
# Confirmation needed:
#  250  Gendringen, can't find any info on this station besides the first url...
#
# Temporary stations (*NOT* included):
#  000    Deventer De Scheg     	6.213606	52.249176
#  406    Leeuwarden Achter de Hoven	5.81639 	53.19889
#  472    Nijverdal West        	6.449275        52.367085
#  608    Eijs-Wittem           	5.92479 	50.82317
#  712    Gulpen-Wijlre         	5.898056	50.833057
#
# Closed stations (included):
#  204    Emmen Bargeres
#  250    Gendringen
#  393    Leidschendam-Voorburg
#  488    Nijmegen Heyendaal
#  510    Pijnacker
#  522    Berkel en Rodenrijs
#  528    Rotterdam Bergweg
#  532    Rotterdam Hofplein
#  535    Rotterdam Kleiweg
#  536    Rotterdam Wilgenplas
#  660    Voorburg 't Loo
#  730    Zoetermeer Stadslijn
#  739    Zoetermeer Centrum West  
#
company	ovcid	name                    	lon     	lat
# station/Fe codes
4	 407	Emmen Zuid              	6.8747807	52.748867
4	 409	Heerlen De Kissel       	5.9933424	50.890167
4	 417	Maarn                   	5.37    	52.064167
4	 419	Maarssen                	5.0336113	52.135277
4	 421	Maassluis West          	4.236111	51.925835
4	 422	Maassluis               	4.254722	51.91611
4	 424	Maastricht              	5.7055554	50.850277
4	 426	Maastricht Randwijck    	5.717222	50.83861
4	 427	Mantgum                 	5.7131996	53.12964
4	 428	Marienberg              	6.575278	52.509445
4	 430	Martenshoek             	6.7402987	53.160725
4	 432	Maarheeze               	5.630343	51.30376
4	 433	Hengelo Gezondheidspark 	6.767235	52.261593
4	 434	Meerssen                	5.7509995	50.88288
4	 435	Meppel                  	6.1975  	52.690834
4	 436	Middelburg              	3.6172223	51.49472
4	 438	Hardinxveld Blauwe Zoom 	4.81556 	51.82944
4	 446	Mook-Molenhoek          	5.8778143	51.76408
4	 450	Almere Poort            	5.1535  	52.34574
4	 451	Nijmegen Lent           	5.8594446	51.865276
4	 452	Naarden-Bussum          	5.1569443	52.280277
4	 454	Nieuw Amsterdam         	6.848611	52.718613
4	 455	Nieuwerkerk aan den Ijssel	4.6169443	51.96528
4	 457	Nieuweschans            	7.19937 	53.1844
4	 460	Nieuw Vennep            	4.6455555	52.25889
4	 466	Nunspeet                	5.785278	52.370834
4	 467	Nuth                    	5.892778	50.919445
4	 468	Nijmegen Heyendaal      	5.8675  	51.826946
4	 469	Nijkerk                 	5.493889	52.22222
4	 470	Nijmegen                	5.8522224	51.843613
4	 472	Nijverdal               	6.4711113	52.365555
4	 475	Nijmegen Dukenburg      	5.7955556	51.824165
4	 480	Obdam                   	4.9072223	52.678055
4	 482	Oisterwijk              	5.1941667	51.582222
4	 483	Oldenzaal               	6.9347224	52.30639
4	 486	Olst                    	6.1130557	52.33472
4	 487	Ommen                   	6.4158335	52.509445
4	 488	Nijmegen Heyendaal      	5.868333	51.826667
4	 489	Oosterbeek              	5.84    	51.995
4	 490	Hoevelaken              	5.45718 	52.16652
4	 494	Opheusden               	5.6371145	51.926163
4	 495	Oss                     	5.5322223	51.765556
4	 496	Oss West                	5.5055556	51.758057
4	 497	Sliedrecht Baanhoek     	4.743333	51.829723
4	 498	Oudenbosch              	4.5333333	51.587776
4	 499	Purmerend Weidevenne    	4.9356294	52.49659
4	 501	Overveen                	4.606111	52.39111
4	 505	Rijswijk                	4.3191667	52.039722
4	 506	Purmerend Overwhere     	4.9683332	52.51139
4	 507	Rotterdam Alexander     	4.5536113	51.951946
4	 508	Purmerend               	4.953611	52.503056
4	 509	Putten                  	5.575278	52.265
4	 510	Pijnacker               	4.437778	52.019167
4	 513	Raalte                  	6.2775  	52.391666
4	 515	Ravenstein              	5.6358333	51.794167
4	 517	Rhenen                  	5.5783334	51.95861
4	 518	Reuver                  	6.0789585	51.28322
4	 519	Rheden                  	6.0305557	52.01
4	 520	Almelo de Riet          	6.6666665	52.341946
4	 521	Rilland-Bath            	4.161111	51.42278
4	 522	Berkel en Rodenrijs     	4.460833	51.976111
4	 523	Roermond                	5.994167	51.193054
4	 524	Rosmalen                	5.3680553	51.71472
4	 525	Roodeschool             	6.760617	53.419212
4	 526	Roosendaal              	4.4583335	51.54028
4	 528	Rotterdam Bergweg       	4.470833	51.932222
4	 529	Rotterdam Blaak         	4.4888887	51.920277
4	 530	Rotterdam Centraal      	4.4688888	51.925
4	 531	Rotterdam Noord         	4.4816666	51.942223
4	 532	Rotterdam Hofplein      	4.479167	51.926944
4	 533	Rotterdam Zuid          	4.5102777	51.904446
4	 534	Rotterdam Stadion       	4.519722	51.89389
4	 535	Rotterdam Kleiweg       	4.466389	51.945556
4	 536	Rotterdam Wilgenplas    	4.462222	51.960833
4	 537	Ruurlo                  	6.4492655	52.08109
4	 538	Rijssen                 	6.520278	52.31222
4	 542	Rotterdam Lombardijen   	4.5313888	51.88
4	 543	Santpoort Noord         	4.6325  	52.433887
4	 544	Santpoort Zuid          	4.6313887	52.419724
4	 545	Sappemeer Oost          	6.7955647	53.158916
4	 547	Sauwerd                 	6.5404  	53.29113
4	 548	Landgraaf               	6.0191665	50.89639
4	 549	Schagen                 	4.805278	52.784443
4	 551	Scheemda                	6.9777775	53.165535
4	 553	Schiedam Centrum        	4.4089937	51.921246
4	 554	Schinnen                	5.8744445	50.939167
4	 555	Schin op Geul           	5.8722224	50.856388
4	 559	Simpelveld              	5.979738	50.831474
4	 561	Schiphol                	4.7619443	52.309444
4	 563	Schiedam Nieuwland      	4.382222	51.922222
4	 564	Sittard                 	5.858611	51.001667
4	 565	Sliedrecht              	4.778333	51.829723
4	 566	Sneek                   	5.6523967	53.032867
4	 567	Soest                   	5.31    	52.173332
4	 569	Soestdijk               	5.3     	52.183613
4	 570	Hilversum Sportpark     	5.187222	52.21611
4	 571	Soest Zuid              	5.303056	52.16528
4	 572	Spaubeek                	5.8516665	50.943054
4	 573	Kerkrade West           	6.02578 	50.85355
4	 574	Sneek Noord             	5.663181	53.04093
4	 575	Stavoren                	5.360021	52.886555
4	 576	Stedum                  	6.6875553	53.32621
4	 578	Steenwijk               	6.114556	52.79151
4	 582	Susteren                	5.8630557	51.06139
4	 583	Swalmen                 	6.03228 	51.23582
4	 591	Tegelen                 	6.14253 	51.33894
4	 592	Terborg                 	6.3642464	51.922455
4	 594	Tilburg Universiteit    	5.051111	51.565
4	 596	Tiel                    	5.422222	51.889446
4	 597	Tilburg                 	5.083611	51.560555
4	 598	Tilburg Reeshof         	4.9944444	51.573612
4	 599	Twello                  	6.098611	52.237778
4	 600	Tiel Passewaaij         	5.3922224	51.87389
4	 603	Sassenheim              	4.51615 	52.2154
4	 605	Rotterdam Zuidplein     	4.488044	51.8864
4	 607	Utrecht Leidsche Rijn   	5.06523 	52.09896
4	 608	Eys-Wittem              	5.92479 	50.82317
4	 613	Utrecht Zuilen          	5.083611	52.106667
4	 614	Utrecht Terwijde        	5.0416665	52.100555
4	 615	Uitgeest                	4.701667	52.521667
4	 617	Uithuizen               	6.6748867	53.409958
4	 618	Uithuizermeeden         	6.7202973	53.414585
4	 619	Usquert                 	6.6093774	53.401474
4	 620	Utrecht Overvecht       	5.124722	52.11
4	 621	Utrecht Centraal        	5.1102777	52.08889
4	 622	Utrecht Westraven       	5.10681 	52.05668
4	 623	Utrecht Lunetten        	5.1441665	52.065556
4	 624	Utrecht Maliebaan       	5.1313887	52.087776
4	 627	Veenendaal Centrum      	5.548611	52.02
4	 628	Veenendaal West         	5.5313888	52.028057
4	 632	Valkenburg              	5.832222	50.86972
4	 635	Varsseveld              	6.458839	51.937256
4	 636	Veendam                 	6.88475 	53.10324
4	 637	Veenendaal-De Klomp     	5.573889	52.045834
4	 638	Veenwouden              	5.9886613	53.235184
4	 640	Velp                    	5.980278	51.99472
4	 642	Vlaardingen West        	4.3130555	51.904167
4	 644	Venlo                   	6.1727777	51.36361
4	 646	Venray                  	6.014178	51.52657
4	 647	Vierlingsbeek           	5.99714 	51.59193
4	 649	Vlaardingen Oost        	4.3616667	51.91028
4	 650	Vlaardingen Centrum     	4.3441668	51.903057
4	 651	Vleuten                 	5.0108333	52.103054
4	 652	Vlissingen              	3.5952778	51.445835
4	 653	Vlissingen Souburg      	3.5952778	51.46472
4	 655	Voorhout                	4.4844446	52.224445
4	 656	Voerendaal              	5.930278	50.887222
4	 658	Voorburg                	4.3594446	52.066666
4	 659	Voorschoten             	4.4325  	52.12528
4	 660	Voorburg 't Loo         	4.366389	52.082222
4	 661	Vorden                  	6.3170457	52.107193
4	 664	Vriezenveen             	6.60041 	52.40203
4	 666	Vroomshoop              	6.569668	52.45719
4	 667	Vught                   	5.2919445	51.655556
4	 668	Voorst-Empe             	6.143611	52.1575
4	 670	Spekholzerheide         	6.02578 	50.85355
4	 674	Waddinxveen Noord       	4.6483335	52.055
4	 675	Waddinxveen             	4.649722	52.044167
4	 679	Warffum                 	6.5671363	53.390842
4	 684	Weert                   	5.703611	51.24861
4	 685	Weesp                   	5.0430555	52.31278
4	 686	Wehl                    	6.213844	51.957806
4	 688	Westervoort             	5.9695  	51.96286
4	 690	Wezep                   	6.0025  	52.454166
4	 691	Wierden                 	6.5916667	52.36139
4	 696	Winschoten              	7.035101	53.139236
4	 697	Winsum                  	6.5202904	53.3301
4	 698	Winterswijk             	6.715518	51.96773
4	 700	Winterswijk West        	6.70417 	51.97453
4	 702	Woerden                 	4.893611	52.085
4	 704	Wolfheze                	5.793611	52.005554
4	 705	Wolvega                 	6.003611	52.880833
4	 706	Workum                  	5.4564285	52.972485
4	 707	Wormerveer              	4.792222	52.489166
4	 710	Wijchen                 	5.7308335	51.81167
4	 711	Wijhe                   	6.1405554	52.390278
4	 712	Wijlre                  	5.898056	50.833057
4	 722	IJlst                   	5.6160803	53.01466
4	 728	Zaandam Kogerveld       	4.8202777	52.456665
4	 730	Zoetermeer Stadslijn    	4.477222	52.048333
4	 731	Zaandam                 	4.813611	52.43889
4	 732	Zaltbommel              	5.2633333	51.808887
4	 733	Zandvoort aan Zee       	4.532778	52.37528
4	 734	Zetten-Andelst          	5.722841	51.920055
4	 735	Zevenaar                	6.071944	51.923054
4	 737	Zevenbergen             	4.60904 	51.64042
4	 739	Zoetermeer Centrum West 	4.483889	52.060556
4	 740	Zoetermeer Oost         	4.492778	52.04639
4	 741	Zoetermeer              	4.4772224	52.0475
4	 742	Zuidbroek               	6.867914	53.15961
4	 743	Zuidhorn                	6.406236	53.24863
4	 744	Zutphen                 	6.1941667	52.14528
4	 745	Zwaagwesteinde          	6.03463  	53.24817
4	 747	Zwolle                  	6.091944	52.504723
4	 752	Zwijndrecht             	4.641667	51.815
4	 996	Utrecht Maliebaan       	5.1313887	52.087776
4	 997	Onze Lieve Vrouwe ter Nood	4.686667	52.583332
4	 998	Eindhoven Stadion       	5.4688888	51.44278
4	 999	Amsterdam Arena         	4.9416666	52.318054
# ticket machine codes
4	 850	Alkmaar                 	4.7397223	52.63778
4	 755	Almelo                  	6.6538887	52.358055
4	 853	Amersfoort              	5.3705554	52.15389
4	 756	Amsterdam Amstel        	4.917778	52.34667
4	 875	Amsterdam Centraal      	4.9002776	52.378887
4	 876	Amsterdam Centraal      	4.9002776	52.378887
4	 757	Apeldoorn               	5.970278	52.209167
4	 878	Arnhem                  	5.8991666	51.985
4	 758	Assen                   	6.570833	52.991665
4	 775	Almere Centrum          	5.21764 	52.37503
4	 759	Beverwijk               	4.6566668	52.478333
4	 854	Breda                   	4.78    	51.595554
4	 778	Delft                   	4.356389	52.006668
4	 760	Deventer                	6.1605554	52.2575
4	 761	Dordrecht               	4.6683335	51.80722
4	 762	Ede-Wageningen          	5.6730556	52.02778
4	 883	Eindhoven               	5.481389	51.443333
4	 763	Enschede                	6.89    	52.2225
4	7310	Apeldoorn de Maten      	6.0005555	52.205276
4	1340	Almere Oostvaarders     	5.3005557	52.40333
4	6840	Arnhem Zuid             	5.8519444	51.955
4	7320	Apeldoorn Osseveld      	6.0044446	52.21528
4	7020	Gaanderen               	6.347581	51.931236
4	5730	Helmond Brandevoort     	5.607222	51.462223
4	 764	Gouda                   	4.7044444	52.0175
4	 880	Groningen               	6.564722	53.210556
4	 882	Den Haag HS             	4.3225  	52.06972
4	 895	Den Haag Centraal       	4.325   	52.080276
4	 885	Haarlem                 	4.6383333	52.38778
4	 768	Heerenveen              	5.9141665	52.961388
4	 765	Heerlen                 	5.975   	50.890835
4	 766	Den Helder              	4.7611113	52.955276
4	 857	Hengelo                 	6.793889	52.261665
4	 862	's-Hertogenbosch        	5.293611	51.690556
4	 867	Hilversum               	5.1819444	52.225834
4	 767	Hoorn                   	5.0555553	52.644722
4	 770	Leeuwarden              	5.792222	53.195835
